app,date,mb
GMAIL,Jul 2017,2.34
GMAIL,Aug 2017,1.93
GMAIL,Sep 2017,4.8
GOOGLE WEATHER,Sep 2016,0.02
GOOGLE WEATHER,Oct 2016,0.12
GOOGLE WEATHER,Nov 2016,0.05
GOOGLE WEATHER,Dec 2016,0.1
GOOGLE WEATHER,Jan 2017,0.074
GOOGLE WEATHER,Feb 2017,0.3
GOOGLE WEATHER,Mar 2017,0.08
GOOGLE WEATHER,Apr 2017,0.06
GOOGLE WEATHER,May 2017,0.2
GOOGLE WEATHER,Jun 2017,0.02
GOOGLE WEATHER,Jul 2017,0.023
GOOGLE WEATHER,Aug 2017,0.049
GOOGLE WEATHER,Sep 2017,0.08
GOOGLE DRIVE,Sep 2016,2.3
GOOGLE DRIVE,Oct 2016,1.8
GOOGLE DRIVE,Nov 2016,2.67
GOOGLE DRIVE,Dec 2016,2.24
GOOGLE DRIVE,Jan 2017,4.31
GOOGLE DRIVE,Feb 2017,1.2
GOOGLE DRIVE,Mar 2017,2.7
GOOGLE DRIVE,Apr 2017,2.9
GOOGLE DRIVE,May 2017,1.52
GOOGLE DRIVE,Jun 2017,2.18
GOOGLE DRIVE,Jul 2017,2.4
GOOGLE DRIVE,Aug 2017,1.19
GOOGLE DRIVE,Sep 2017,2.83
GOOGLE PHOTOS,Sep 2016,2.3
GOOGLE PHOTOS,Oct 2016,5.7
GOOGLE PHOTOS,Nov 2016,2.56
GOOGLE PHOTOS,Dec 2016,1.95
GOOGLE PHOTOS,Jan 2017,4.54
GOOGLE PHOTOS,Feb 2017,3.8
GOOGLE PHOTOS,Mar 2017,2.34
GOOGLE PHOTOS,Apr 2017,1.5
GOOGLE PHOTOS,May 2017,1.98
GOOGLE PHOTOS,Jun 2017,3.9
GOOGLE PHOTOS,Jul 2017,4.66
GOOGLE PHOTOS,Aug 2017,3.4
GOOGLE PHOTOS,Sep 2017,2.4
CALGARY TRANSIT,Sep 2016,28.2
CALGARY TRANSIT,Oct 2016,20.5
CALGARY TRANSIT,Nov 2016,24.3
CALGARY TRANSIT,Dec 2016,18.7
CALGARY TRANSIT,Jan 2017,19.4
CALGARY TRANSIT,Feb 2017,22.3
CALGARY TRANSIT,Mar 2017,16.3
CALGARY TRANSIT,Apr 2017,18.3
CALGARY TRANSIT,May 2017,10.5
CALGARY TRANSIT,Jun 2017,6.28
CALGARY TRANSIT,Jul 2017,5.42
CALGARY TRANSIT,Aug 2017,1.82
CALGARY TRANSIT,Sep 2017,0.22
CHROME,Sep 2016,156
CHROME,Oct 2016,167.3
CHROME,Nov 2016,203
CHROME,Dec 2016,248
CHROME,Jan 2017,223
CHROME,Feb 2017,190
CHROME,Mar 2017,205
CHROME,Apr 2017,172
CHROME,May 2017,107
CHROME,Jun 2017,180
CHROME,Jul 2017,380
CHROME,Aug 2017,238
CHROME,Sep 2017,181
